Id,Discussion Category,Comment Text (Coding)
135,"Changes in what, how, when and where students learn?","The schools where I see the most positive changes in the ""culture"" of teaching and learning are those that have invested in ""technology integrationists"" - who were teachers first and now can help other teachers, model for them, coach them, encourage them. Also, these schools have leaders who lead by example when it comes to using technology and who want their teachers to personalize their own learning.<br>"
136,"Changes in what, how, when and where students learn?","<blockquote class=""Quote"">

<div class=""QuoteAuthor""><a href=""/dlt2/index.php?p=/profile/653/Cindy%20Wilson-Hyde"">Cindy Wilson-Hyde</a> said:</div>

<div class=""QuoteText"">For teachers to be willing to try new technologies, school environments need to support those teachers willing to take a risk and try something new. It often takes several tries to get comfortable (successful) with a new technology, but if risk-takers are not supported, the stakes are sometimes too high to experiment with something new.&nbsp;</div>

</blockquote>



I once worked in a building where the principal wanted everyone to try take a risk that semester, even if we failed. &nbsp;The energy and positive culture that was created was phenomenal. &nbsp;I and my fellow teachers tried out new ways of teaching and other innovative ideas because the pressure was off. &nbsp;Based on that experience, I believe taking risks not only should be supported, but encouraged by leadership. &nbsp;If teachers are encouraged to take risks, school culture will impacted positively for both teachers and students."
137,"Changes in what, how, when and where students learn?","Interesting how much emphasis we have in this discussion of the need to allow and even encourage teachers to take risks in doing things differently, and accepting that some risk taking will not work out perfectly. I agree that support for risk taking to be critical to changing cultures in schools."
138,"Changes in what, how, when and where students learn?","Changing the culture of a school or district, starts with a combined shared vision. &nbsp;We need ALL staff involved; educators, administrators and service staff. &nbsp;A vision which includes the care and image of the district or school, as well as preparing the children for the 21st century. &nbsp;We spend a lot of time discussing technology, and forget that the school needs to be a place of pride. &nbsp;Our service staff has input that is often unheard, and welcoming them into the discussion would go a long way to build culture. &nbsp;The students interact with the service staff of our sites, even more than educators sometimes. &nbsp;<div>Having our various committees come together and build a vision statement, that all staff members and students can get behind has got to be our first step.</div><div>Then it is the responsibility of all of us to take those risks that further our shared vision. &nbsp;Teachers will need to be allowed to make mistakes as they take on new technology, without fear of repercussions. &nbsp;Administrators need to take risks by focusing their budgets towards the shared vision. &nbsp;Service staff will need to be staffed sufficiently and be heard, to keep the schools looking and running in a way that supports our shared vision.</div><div><br></div>"
139,"Changes in what, how, when and where students learn?","I have been thinking lots about how to best support this culture change, which is especially different for us as we are starting a brand new school this year. &nbsp;We are joining staff from a high school and elementary school into a middle school and we have lots of people willing to try something new, but are struggling to find the time/resources to do so. &nbsp;Specifically, we have a (small) budget for instructional technology but are trying to think lots about how best to roll that out to teachers. &nbsp;Do we buy Chrome books, IPADS, laptops etc for classrooms and let teachers figure it out? &nbsp;Do we not purchase them yet and have teachers engage in learning opportunitites beforehand? &nbsp;What if we spend a bunch of money and then teachers determine that we didn't buy the right ""stuff""? &nbsp;How can teachers be expected to change the culture of learning in their classrooms if they can't try it out? What is the best way for teachers to move along on their own learning journey when there is no time or money (literally, we're tapped out) for additional PD?<div><br></div><div>Any thoughts out there?&nbsp;</div>"
140,"Changes in what, how, when and where students learn?","<blockquote class=""Quote"">

<div class=""QuoteAuthor""><a href=""/dlt2/index.php?p=/profile/739/Amy%20Orth"">Amy Orth</a> said:</div>

<div class=""QuoteText"">I have been thinking lots about how to best support this culture change, which is especially different for us as we are starting a brand new school this year. &nbsp;We are joining staff from a high school and elementary school into a middle school and we have lots of people willing to try something new, but are struggling to find the time/resources to do so. &nbsp;Specifically, we have a (small) budget for instructional technology but are trying to think lots about how best to roll that out to teachers. &nbsp;Do we buy Chrome books, IPADS, laptops etc for classrooms and let teachers figure it out? &nbsp;Do we not purchase them yet and have teachers engage in learning opportunitites beforehand? &nbsp;What if we spend a bunch of money and then teachers determine that we didn't buy the right ""stuff""? &nbsp;How can teachers be expected to change the culture of learning in their classrooms if they can't try it out? What is the best way for teachers to move along on their own learning journey when there is no time or money (literally, we're tapped out) for additional PD?<div><br></div><div>Any thoughts out there?&nbsp;</div></div>

</blockquote>



<br><div>As Gail Pletnick would say, take small risks before you take big ones. In my district, the IT office is supporting a range of pilot projects. Each school put together a proposal that outlined what instructional goal they would be trying to reach, what technology they needed, and how they would use it. They also outlined interim goals and how they would evaluate the effectiveness of their effort. These are small scale projects, like a group of 2nd grade teachers using iPads to improve reading for a group of students who are behind.&nbsp;</div><div><br></div><div>In Dysart, they have a Test Drive process that allows for small investments with the support that is needed to make sure it is effective.&nbsp;</div>"
141,"Changes in what, how, when and where students learn?","Kate Shields is on target with the idea of more professional development that has a ""sit down with "" component. &nbsp;There is a reason we model, give guided practice and independent practice to our students as part of an instructional cycle. &nbsp;I need that too!"
142,"Changes in what, how, when and where students learn?","I think community partnerships or internships would have positive effect on how students learn. I also believe it will provide students with marketable skills, knowing how to use technology in various careers.<br>"
143,"Changes in what, how, when and where students learn?","I think community partnerships and internships will be invaluable regarding how, when and where students learn.&nbsp; Book learning can only take students so far.&nbsp; Internships provide valuable experience and insight into occupations and society.&nbsp; My question is what is your experience with school districts being open to community partnerships?&nbsp; Our family and community director has made some inroads with a couple of companies, but oftentimes when community wants to partner with the schools, the schools say that they are open to it, but when push comes to shove, they are not.&nbsp; They want community partnerships to do what they want them to do.&nbsp; They do not want to partner on equal footing with community resources-- like the library . . . . Internships can be amazing though.&nbsp; <br>"
144,"Changes in what, how, when and where students learn?",I think community partnerships can making learning more real for students and help them see what life outside of school is like. &nbsp
145,"Changes in what, how, when and where students learn?","I also believe that community partnerships can be invaluable.&nbsp; It can work 2 ways, bringing the community with its resources and needs into the school, and the school with its resources and needs into the community.&nbsp; Either way can&nbsp;benefit students as well as&nbsp;benefit the school."
146,"Changes in what, how, when and where students learn?",Community Partnerships is a necessary part of learning today. The ability to have students work as apprenticeships and understudy careers and professions is essential. Being able to also have professionals and career minded individuals visit schools periodically will ensure that our students are on the right path for learning employable skills for the future.
147,"Changes in what, how, when and where students learn?","Internships are an excellent way to do occupational research.&nbsp; Besides information interviews and job shadowing, internships will give students learn valuable information about -&nbsp;

<ul><li>

The nature of the job - job tasks and activities <br></li><li>

The type of work environment <br></li><li>

The training or educational requirements</li><li>The salary&nbsp; <br></li><li>

The job outlook</li><li>Typical abilities, interests, and values of people who perform the occupation</li></ul>"
148,"Changes in what, how, when and where students learn?","I believe with the debut of social media and especially course such as this, it is absolutely necessary to change the way we deliver our lectures to students and encourage more exploration and research from our students via the internet. There are several online courses today in all subjects even from some of our Ivy League schools which makes it extremely easy and acceptable. There is still the need for the occasional interactions with a teacher or professor but now more so the teacher or professor as a facilitator."
149,"Changes in what, how, when and where students learn?","How do you think we should change how, when, and where students learn?"
150,"Changes in what, how, when and where students learn?","

Culham B Amengor said:

I believe with the debut of social media and especially course such as this, it is absolutely necessary to change the way we deliver our lectures to students and encourage more exploration and research from our students via the internet. There are several online courses today in all subjects even from some of our Ivy League schools which makes it extremely easy and acceptable. There is still the need for the occasional interactions with a teacher or professor but now more so the teacher or professor as a facilitator.





In my opinion the teacher ideally would be able to be much more than a facilitator, with adequate technology the teacher could pre-record lessons, and curate links to videos or online resources, and increase their availability to do direct instruction with the students that are requiring more assistance. &nbsp;With adequate training and the proper tools, a teacher could essentially become their own assistant, with the added ability to really be able to instruct the students in the teacher's expertise. &nbsp;"
151,"Changes in what, how, when and where students learn?","How should we change how, when and where students learn?&nbsp; As Culham and Jared mentioned, there are many more opportunities for all of us to learn because of the enormous increase in the access to information.&nbsp; The question is how to we teach students to use this information; to determine the accuracy of the information; to use the information to increase their knowledge.&nbsp; How do we teach students to construct knowledge then to use that knowledge in creative ways?&nbsp; We should change who does most of the work in the learning process from teacher to student.&nbsp; Ask students how, when, where and why they learn?&nbsp; Then go from there.&nbsp;"
152,"Changes in what, how, when and where students learn?","How should we change how, when and where students learn?&nbsp; As Culham and Jared mentioned, there are many more opportunities for all of us to learn because of the enormous increase in the access to information.&nbsp; The question is how to we teach students to use this information; to determine the accuracy of the information; to use the information to increase their knowledge.&nbsp; How do we teach students to construct knowledge then to use that knowledge in creative ways?&nbsp; We should change who does most of the work in the learning process from teacher to student.&nbsp; Ask students how, when, where and why they learn?&nbsp; Then go from there.&nbsp;"
153,"Changes in what, how, when and where students learn?","I am often left wondering, what is the role of direct instruction in a world of such easy access to information? &nbsp;What could I possibly tell them or show them that they couldn't also access online? &nbsp;Not to say that there isn't a role for me to be the conduit for that information for some students who would learn best from me, but how can I contruct a learning environment that gives students options (that model the way they will learn OUT of school) to access information in many different ways? &nbsp;"
154,"Changes in what, how, when and where students learn?","I agree with Cullham - we need to not focus so much on invention of curricular material, but curators. We bring along a variety of resources to our students and allow them to choose what resonates with them, similar to this MOOC. We were able to choose articles and videos and we are still able to discuss and investigate. Oftentimes the most successful classroom time that I have seen was spent having students share what they learned from resources that not all of them may have explored. The retelling of information made it so meaningful, especially coming from the mouths of peers."
155,"Changes in what, how, when and where students learn?","Vera Bierend said:

I agree with Cullham - we need to not focus so much on invention of curricular material, but curators. We bring along a variety of resources to our students and allow them to choose what resonates with them, similar to this MOOC. We were able to choose articles and videos and we are still able to discuss and investigate. Oftentimes the most successful classroom time that I have seen was spent having students share what they learned from resources that not all of them may have explored. The retelling of information made it so meaningful, especially coming from the mouths of peers.





Vera,I love that line about becoming curators. &nbsp;It's a large paradigm shift, but a necessary one. &nbsp;Spencer"
156,"Changes in what, how, when and where students learn?","I love the idea about being content curators. I think at this point, students can get all the information they want to learn online but still struggle with finding good resources. By letting them choose which content to go more in depth about, allows for a student-centered approach and let them become owners of their own learning. I think teachers are afraid that they have to read everything before the students do and I think we need to shift away from that and let the students teach as well."
157,"Changes in what, how, when and where students learn?","we are talking here about a complete change of pedagogy. we are looking at the paradigm shift. managing this change which is so important is not going to be simple. teachers have always been 'in charge' of students' learning and thus teh power position in the class. now this power needs to be shared with the students. students have been dependent on teachers for their learning. the scene has changed now. knowledge is only a click away. HOw the teacher and schools ensure that students become responsible for their learning is an uphill task. designing tasks, resources, to ensure that the learning outcomes are met in an environment which is student centred required a lot of training and support &nbsp;"
158,"Changes in what, how, when and where students learn?","Whether or not changes in pedagogy are contingent on trends and innovations, is a moot point. The question that should be asked, however, is: What will be the long term impact of ICT on the teaching and learning process? Undoubtedly ICT changes the nature of motivation to learn Iimportant question is: What kind of skills will teachers need to acquire in order to be effective in an ICT based learning environment?"
159,"Changes in what, how, when and where students learn?","I believe that learning now has to be looked at as 24/7/365. &nbsp; I think our schools will have to offer a menu of services...more of a cafeteria approach then a plated dinner where everyone is served the exact same thing. &nbsp;I also believe this can be a saving grace for small districts because we can open up so many more opportunities for our students. &nbsp;Do you want to take government online so you have room to take band or do you want the traditional government class? &nbsp;We don't have anyone who can teach Chinese in our part of the world, &nbsp;but you can take that class online. &nbsp;I also see us expanding into a school of dual enrollments. &nbsp;Home schooled students may take some classes at a traditional school and others at home. &nbsp;some students may take some high school classes and also attend a local college for part of the day. &nbsp;Our school district may even provide the transportation in our rural area.We will be a school system in which every student has an individualized learning plan to prepare them for their future."
160,"Changes in what, how, when and where students learn?","Hi everyone. Sorry to jump in mid-week.I think this is an important question, but I'd like to add to it. WHY do we need to change how, when, and where students learn? I think it is vital to understand that yes, there is a need to change, but why is there a need for such a change. There is a lot of talk about ""personalized learning"". In my mind, learning IS personal and should always be personal. So the question is, what are we doing now (and why are we doing it) that is making it not personal? I think that is where we begin to really understand the WHY of this much needed change. And that's where our discussions move beyond the immediate implications of educational technology and into the longer lasting benefits.What do you think?"
161,"Changes in what, how, when and where students learn?","

Amy Orth said:

I am often left wondering, what is the role of direct instruction in a world of such easy access to information? &nbsp;What could I possibly tell them or show them that they couldn't also access online?





I often think the first partner we need to take in this transition to digital learning is the Human Resources Department!&nbsp; Participants here are all risk takers, not needing to be right every time they speak, but can we say the same for every teacher in our schools?

Amy Orth said:

Not to say that there isn't a role for me to be the conduit for that information for some students who would learn best from me, but how can I contruct a learning environment that gives students options (that model the way they will learn OUT of school) to access information in many different ways? &nbsp;





We need Human Resources to recruit, and Principals to recommend only candidates who have the knowledge that they no longer hold all the knowledge in their head.&nbsp; People who may be threatened by alternatives to the teacher being the single source of knowledge will shut out the outside world and try to block the free flow of information/learning in a classroom.

Donna Burroughs said:

I believe that learning now has to be looked at as 24/7/365.Participants have already pointed out that students have been learning outside of our schools, but coudl we hire teachers who have the openness to *value* that learning, help the students convert that learning into something more formal?

fareeha ahmad said:

we are talking here about a complete change of pedagogy. we are looking at the paradigm shift. managing this change which is so important is not going to be simple. teachers have always been 'in charge' of students' learning and thus teh power position in the class. now this power needs to be shared with the students. students have been dependent on teachers for their learning. the scene has changed now. knowledge is only a click away.Human Resources and Principles need to intercede in not only the hiring, but possibly the removal of some teachers who harbor nostalgia for the days of being the star in their classroom.Technology can't solve a Human Resources problem."
162,"Changes in what, how, when and where students learn?","I agree with much that has been said.&nbsp; However,&nbsp; we must remember that learning is a process and requires some guidance and coaching.&nbsp; I think that we need to effectively teach young students how become effective online learners.&nbsp; If the change in pedagogy enables young students&nbsp;to develop as independent on-line learners, they will&nbsp;be more productive and independent as learners as they progress through school.&nbsp; &nbsp;"
163,"Changes in what, how, when and where students learn?","Great discussion, with the focus in many postings on a new role of teachers as curators a great example of why we titled unit 2 as ""Changing the Culture of Teaching and Learning."" &nbsp;As several pointed out, culture change is complex and takes guidance and time because it involves people adopting new roles and forming new types of relationships, and that's a challenge for everyone."
164,"Changes in what, how, when and where students learn?","I believe that making a long-range plan for technology integration is key for its success. &nbsp;Professional development for teachers is vital to that plan, as the teacher's role in the classroom will dramatically change when every student has a device in their hands to access information quickly, learning shifts from teacher-centered to student-centered, and collaboration between students is common practice in everyday learning. &nbsp;Teachers, like most people, resist change unless they can be made to see that digital learning holds vast advantages for students who will need digital skills to succeed in the 21st century."
165,"Changes in what, how, when and where students learn?","I too agree that until a school commits to a device for each student, it is hard for teachers to imagine what this looks like."
166,"Changes in what, how, when and where students learn?","I like your comments about a student-centered focus. Our kids have so much curiosity and so many good ideas. We need to let them capitalize on their skills and interests. This will increase their self-confidence and make learning more exciting for them! Good thoughts, Kay!"
167,"Changes in what, how, when and where students learn?","Very well said Kay. &nbsp;Educator training and buy-in are essential to an effective implementation of digital learning. &nbsp;Professional development is so often over-looked due to time, financial, or other considerations. &nbsp;The seemingly obvious solution to this issue is to leverage technology to provide access for educators to professional development. &nbsp;However, it often seems that this option is not considered or implemented."
168,"Changes in what, how, when and where students learn?","You bring up a very interesting point about the need for commitment in educating teachers. &nbsp;But, I think if the ""plan"" is too long then it loses some of the flexibility necessary. &nbsp;For instance 7 years ago many schools looked at wireless technology as a ""bonus"" but with mobile learning it has become a necessity. &nbsp;And that stuff isn't cheap. &nbsp;I think staggered long term plans with built in evaluation periods are a great compromise. &nbsp;"
169,"Changes in what, how, when and where students learn?","

Kay Teehan said:

I believe that making a long-range plan for technology integration is key for its success. &nbsp;Professional development for teachers is vital to that plan, as the teacher's role in the classroom will dramatically change when every student has a device in their hands to access information quickly, learning shifts from teacher-centered to student-centered, and collaboration between students is common practice in everyday learning. &nbsp;Teachers, like most people, resist change unless they can be made to see that digital learning holds vast advantages for students who will need digital skills to succeed in the 21st century.





I too believe long-range planning is critical; I would add that that planning should not be focused on a separate technology plan but rather on building a strategic plan that is focused on the ultimate goals and priorities of the district.&nbsp; If our goal in education is to prepare students for the challenges and opportunities of the 21st century, the integration of technology and digital learning will be addressed.&nbsp; I, also, suggest that in building a strategic plan a collaborative approach be utilized that includes teachers, parents, students, community leaders and administration.&nbsp; If those voices are heard and reflected in the plan, there is ownership and it reduces the resistance to change since there is a deeper level of understanding."
170,"Changes in what, how, when and where students learn?","This discussion begs the point of why the concept evolved from ""in service"" to&nbsp; professional development.Not only must teachers be taught the value and expertise of technology, the training should be&nbsp;&nbsp;goal oriented and needs specific.&nbsp; It might be necessary to guide some individuals to understand the type training they need to best promote learning in their area.&nbsp; There must be evaluation&nbsp; and feedback components to assure that the new techniques are used to the best advantage. For those who are ""behind"" it is incumbent upon the trainers to help teachers beyond any technophobia and embarrassment regarding skill level.&nbsp; As budgets financially shrink, time must be budgeted for professional collaboration and learning communities as ways to address training issues."
171,"Changes in what, how, when and where students learn?","Yes, you all have some great thoughts and reflections on the place of technology in the classroom! &nbsp;To me, it is not only about having devices; it is about using them meaningfully so as to enhance student engagement and learning in the 21st Century. &nbsp;Training for teachers is essential, I agree. &nbsp;Students may already be privy to what teachers are not privy to in reference to technology, software, applications, etc. &nbsp;Giving students the chance to explore educational technology remains essential - especially if it revolves around providing meaningful media for students to synthesize and present information.&nbsp;"
172,"Changes in what, how, when and where students learn?",Great discussion and I couldn't agree more that is is how technology is used that is most important. It needs to be a very thoughtful design for technology integration that enables students to think critically and communicate that thoughts and ideas together and expand their own individual knowledge base. Writing in a collaborative environment with peer editors has also been important to our students. They care more about their writing and want to be seen as a good writer. It means much more than writing for a teacher and a grade.
173,"Changes in what, how, when and where students learn?",very well said. planning is extremely important in the education sector somehow due to the number of changes that are being made planning becomes very adhoc. the plan must also include ways of monitoring the implementation of the plan. In addition evidence needs to be collected to evaluate the effectiveness of the plan&nbsp
174,"Changes in what, how, when and where students learn?","This is a very important discussion.&nbsp; With limited resources, we cannot afford to purchase technology that will not be effective in supporting student success.&nbsp; In Dysart we put in a test drive process that schools are required to use before we will approve a technology purchase.&nbsp; It is designed to require staff to research, plan and evaluate the results of the utilization of technology before that technology is purchased.&nbsp; It also allows the district to capture that planning to share with others who can then use the technology successfully in their classrooms.&nbsp; To see an outline of the process please visit&nbsp; https://www.dysart.org/Sites/Default.aspx?pgid=186."
175,"Changes in what, how, when and where students learn?","Kay Teehan said:

Professional development for teachers is vital to that plan, as the teacher's role in the classroom will dramatically change when every student has a device in their hands to access information quickly, learning shifts from teacher-centered to student-centered, and collaboration between students is common practice in everyday learning.



David Laws said:

To me, it is not only about having devices; it is about using them meaningfully so as to enhance student engagement and learning in the 21st Century.







Too often we start with the tech: ""Let's get devices into every students hands."" Technology should not change how we think about planning: start first with the learning and what we want students to leave with. I think one of the weaknesses in our current approach is that we adopt the technology and then try to figure out how to use it to make our existing learning goals more efficient. Instead, we need to really think through what it is we want students to be able to do on the other end of the process. If our goals are no different, then our methods don't need to change, and the tech will be superfluous."
176,"Changes in what, how, when and where students learn?","Kay Teehan said:

Professional development for teachers is vital to that plan, as the teacher's role in the classroom will dramatically change when every student has a device in their hands to access information quickly, learning shifts from teacher-centered to student-centered, and collaboration between students is common practice in everyday learning.



David Laws said:

To me, it is not only about having devices; it is about using them meaningfully so as to enhance student engagement and learning in the 21st Century.







Too often we start with the tech: ""Let's get devices into every students hands."" Technology should not change how we think about planning: start first with the learning and what we want students to leave with. I think one of the weaknesses in our current approach is that we adopt the technology and then try to figure out how to use it to make our existing learning goals more efficient. Instead, we need to really think through what it is we want students to be able to do on the other end of the process. If our goals are no different, then our methods don't need to change, and the tech will be superfluous."
177,"Changes in what, how, when and where students learn?","I agree. I have witnessed this many times. We get excited about the new ""toy"" (technology). Buy it. And then we try to figure out how to implement it into the curriculum."
178,"Changes in what, how, when and where students learn?",Great discussion everyone! &nbsp
179,"Changes in what, how, when and where students learn?","Gerald said:&nbsp;Too often we start with the tech: ""Let's get devices into every students hands."" Technology&nbsp;should not change&nbsp;how we think about planning: start first with the learning and what we want students to leave with. I think one of the weaknesses in our current approach is that we adopt the technology and then try to figure out how to use it to make our existing learning goals more efficient. Instead, we need to really think through what it is we want students to be able to do on the other end of the process. If our goals are no different, then our methods don't need to change, and the tech will be superfluous.I agree with him, our focus is always in tech and sometimes we forgot the persons that will use it to learning or to teaching. We have to planning to develop the critical thinking and after that people can choose the better way to teach."
180,"Changes in what, how, when and where students learn?","Start with the student; look at embedding an inquiry focus. Teacher PD or teacher teams could center their work on this delivery model. Embedding technology will then come naturally as students choose the devices or the format they would like to use to research/learn, or demonstrated their learning.&nbsp;"
181,"Changes in what, how, when and where students learn?","Kay,I've seen the resistance you describe, especially when technology is not available or does not work as it should. &nbsp;Teachers have maybe 33 seconds to switch from a digital plan A to their backup plan B (which will not be technology rich). &nbsp;Too many broken plan As will lead teachers to ""hope things will be better next year"" are revert to tried and true pedagogy. &nbsp;Keen Gravely"
182,"Changes in what, how, when and where students learn?","I feel like we are stuck in the chicken-egg conundrum. Teachers can't use technology without training and time to learn how to integrate it in a meaningful way into their curriculum. And...you can't get training until they have experienced the technology. We are not sure what works best or how much to invest and in all the time of ""figuring it out"" our students continue to exceed our existing knowledge and keep the gap growing. Yikes!"
183,"Changes in what, how, when and where students learn?","Dysart Unified School District has developed and continues to develop online options for students. The&nbsp; virtual program is called Dysart&nbsp; iSchool and students utilize this for recovery, extension, and as a full time option.&nbsp; This year we have added blended learning options as well.&nbsp; It provides students control over their learning time and learning place.&nbsp; So often people think of online courses only in terms of ""making up credit"".&nbsp; There are so many other reasons students participate, including being able to free up time in their traditional class schedules so they can take advantage of elective courses or as mentioned above because these courses offer learning approaches that are appealing to the learner.&nbsp; <br>"
184,"Changes in what, how, when and where students learn?","In Florida we have the Florida Virtual School. At my private school, students use the virtual program in many ways: 1) due to size, we cannot offer some AP courses multiple times during the day, so students with numberous AP courses take one on-line since it doesn't fit into their schedule; 2) many ambitious students take an on-line math course over the summer to get ahead; 3) students interested in the sciences take an additional science course on-line that we don't offer; 4) struggling students take basic math courses online courses that our school does not offer; 5) some students take online courses because they need to graduate early especially athletes who need to enter college during the spring semester of their senior year; 6) athletes take PE and personal fitness classes online as well as other online classes so they can leave school early. We do, however, look carefully at which students are taking which courses since top competitive colleges still prefer that our students take our in-school courses over the on-line offerings. That in and of itself is a problem. Unfortunately, the Florida Virtual Online courses are not engaging and students, while they do appreciate learning at their own pace anytime anywhere, find the courses filled with busy work and just want to get through them. 



Our school is also a BYOD school and we conduct many blended classroom courses, but we are far from where we need to be to turn teachers into mentors and guides, though not for lack of trying!"
185,"Changes in what, how, when and where students learn?","&nbsp;Virtual classes and schools will&nbsp;benefit&nbsp;from awarding badges per accomplishment.&nbsp;The awards&nbsp;are not only serve as proof&nbsp;of accomplishment&nbsp;for the students e-folio,&nbsp;but as a visual&nbsp;reminder and extrinsic motivator.&nbsp;I am wondering if we need to remodel our&nbsp;Virtual Courses&nbsp;to mirror that the Khan Academy outline. Has anyone out there compared their current virtual classes to&nbsp;The Khan Academy or&nbsp;&nbsp;possibly Edmodo.? &nbsp;&nbsp;&nbsp;&nbsp;"
186,"Changes in what, how, when and where students learn?","Hi Dr. Kleiman,<div><br></div><div>I agree that expanding the curriculum and providing alternative learning approaches is very doable with digital learning. I personally like virtual classes over face-to-face classes even though the ones I have taken are much harder than face-to-face classes. Mainly, because in classes of high needs populations technology is not adequate, nor is there sufficient personnel, resources or other equipment. In online courses I have more options to choose a hybrid, part synchronous and asynchronous, I may go at my own pace (to a degree and that option has been stopped from providers I frequented for professional development online courses), attend when I have contagious diseases like chicken pox once my fever breaks, access the class at any-time, present the course in my learning preference and I may store what I need in the cloud. I may research online and select other references or teachers to help me understand if I do not understand my teacher, do not like his or her teaching style and I usually get to choose my group members on required team projects. So, a great way to use digital learning is to establish e-folios for student completion of goals and objectives on their own personal plan of study. If it is accessible and honored no matter where you go I think we would have more graduates and more honest assessments of students skills.</div><div><br></div><div>In static face-to-face classes I am stuck with who they assign as my teacher, suffer when they do not have the appropriate resources and face being in over crowded classes with little interaction due to the large class sizes. I do have a lot of technology compatibility problems since I use a Mac because my computer was sent to me with errors. Most online platforms are set up with Windows-based or android devices in education. I am most proficient with Windows and android devices since I am a 17-year educator. However, I still prefer online instruction as technology advances and we see the power it holds when used smartly, for my current needs and now more mobile than I'd like lifestyle. I am older though so that is why I prefer not waiting in traffic to get to the school building, I like being involved with wider audiences and I like having more options that are not available in one district or classroom.&nbsp;</div><div><br></div><div>When I was younger, I liked face-to-face classes better. I like knowing everyone personally and letting them know me. I liked sharing the same passion for leading, teaching and learning and learning about learning from a student-center and universal technology sharing bent. Unfortunately, that has changed because classrooms where I have worked are battle zones and no one from the federal level down is doing anything about it even with timely reports. Technology is banned and when not fully banned it is inaccessible in school even with a BYOD/BYOT policy in effect in the district. I had more than 216 students in a 9-week period and that is just too many in my opinion on such an escalated basis when the whole computer science lab was down more than up and students did not have access to technology at home to bridge the sags, lags and gaps. Approximately 1000 students being exposed to technology gone wrong is not how you inspire students to love using digital devices in teaching and learning.</div><div><br></div><div>The district that I was in has a virtual school called DeKalb Online Academy (DOLA) that is used for student credit recovery and for AP students to take classes that are not offered. Seniors may take courses they need that is not offered at their school. They needed more teachers to help those with special needs and should employ CTI or Career Technical Instructors who are certified in both Business Technology Education and Exceptional Education to supply the adaptive-assistive technology needs for those learners. One model rotates where the teacher is in class for 6 weeks, in an office on site or at the district for 6 weeks and online for 6 weeks. Some instructors are strictly online educators. The school offering DOLA During the day is supposed to have a classroom set up for students to access. That was never really available when my students had to take DOLA coming from out of state to schools in Georgia. Students would be moved around from the Library when it was available to just sitting in the front office or the counselor's office for the period. If they had access at home they completed what they should have completed in school or went to the local library if they did not have resources at home.</div><div><br></div><div>Partners that used the school facilities during the evening used the SMS stations. They would come in and view the monitor, take notes and hit the buzzer devices. They got rid of those at one high school I taught at.&nbsp;</div><div><br></div><div>Hence, I agree that there is controversy regarding online classes not being as good as face-to-face classes. To try to validate online classes there seems to be a lot more work involved. In this same district that I am discussing a colleague was not promoted to an administrative or quasi-administrative position because the masters degree that the person had was earned from an online college as opposed to a brick and mortar university. With all the accreditation issues, cheating scandals, e-mail scandals and racketeering from&nbsp;former superintendency and chief operators that the district has suffered it should not matter where the person got the degree from as long as the professional standards commission backs that person's professional, highly qualified teaching certificate.</div>"
187,"Changes in what, how, when and where students learn?","<blockquote class=""Quote"">

<div class=""QuoteAuthor""><a href=""/dlt2/index.php?p=/profile/260/Robyn%20Kaiyal"">Robyn Kaiyal</a> said:</div>

<div class=""QuoteText"">In Florida we have the Florida Virtual School... We do, however, look carefully at which students are taking which courses since top competitive colleges still prefer that our students take our in-school courses over the on-line offerings. That in and of itself is a problem. Unfortunately, the Florida Virtual Online courses are not engaging and students, while they do appreciate learning at their own pace anytime anywhere, find the courses filled with busy work and just want to get through them. 



Our school is also a BYOD school and we conduct many blended classroom courses, but we are far from where we need to be to turn teachers into mentors and guides, though not for lack of trying!</div>

</blockquote>



Hi Robyn,<div><br></div><div>I think that you could turn teachers into mentors and guides for students if The Florida Teacher's Bureau offered an online teaching endorsement for teachers. When I was teaching in Florida as a Cisco Local Networking Academy Main Contact and Instructor we offered face-to-face classes that incorporated vendor created curriculum in addition to the hands-on practicals and proctoring I conducted at the district Technical Institute. Then, articles started hitting the Internet on the requirement that Florida had for all students being required to take an online course before graduating from high school. If that was the case then teacher certification aligned with this mission should be available.&nbsp;</div><div><br></div><div>As a proponent for all students taking an online class, I called the Teacher's Bureau and asked them to offer the certification to teachers who obviously are the catalysts for such an endeavor. &nbsp;I was told that I or a lot of educators would have to rally the legislature there to get that done. It is still not offered. So, I am sure it is not for lack of trying that you are not able to get teacher's to be mentors. There are so many other barriers such as: 1) teachers having increased workloads, 2) less time for teaching because they have to be in physical and virtual meetings for new initiatives; 3) lack of time to create online courses, 4) most mentorship has to be volunteer and not paid (some districts ban volunteering time in GA) and the myths that 5) online teachers or technology will replace teachers in the classroom or that online classes are not personable when they may be made so with participant inputs like using emoticons, pictures, voice ratings, commentary or feedback, etc.&nbsp;</div>"
